2025-08-18 15:11:18,675 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12E01C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs', ())
2025-08-18 15:11:18,675 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE12E01C0>, 'SELECT jobs.id, jobs.status, jobs.account_id, jobs.targets_blob, jobs.template_ids_blob, jobs.randomize, jobs.schedule_at, jobs.context_json, jobs.created_at, jobs.error, jobs.attempts, jobs.account_ids_blob, jobs.is_cyclic, jobs.cycle_minutes, jobs.paused, jobs.stopped, jobs.next_run_at \nFROM jobs', ()) completed
2025-08-18 15:11:18,676 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12E01C0>)
2025-08-18 15:11:18,676 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE12E01C0>) completed
2025-08-18 15:11:18,677 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12E01C0>)
2025-08-18 15:11:18,677 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE12E01C0>) completed
2025-08-18 15:11:18,678 | DEBUG | app.main | Checking 2 jobs at 2025-08-18 12:11:18.678862+00:00
2025-08-18 15:11:18,678 | DEBUG | app.main | Job 1 status=queued paused=False stopped=True next_run_at=2025-08-15 14:19:39.741154+00:00
2025-08-18 15:11:18,679 | DEBUG | app.main | Job 2 status=scheduled paused=True stopped=True next_run_at=2025-08-18 11:41:57.707414+00:00
2025-08-18 15:11:19,091 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:19,091 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
